Sr,Job Title,Company Name,Salary,Location,Job Url
66,SOLAR PV PLANT TECHNICAL ENGINEER( CIVIL),IMR India,Not Available,INDIA,https://in.talent.com/view?id=4699d23246e4
67,City Manager - Solar Industry | Location - Raipur,Pro Career ignition HR consultancy Training services,Not Available,"Raipur, Chhattisgarh",https://in.talent.com/view?id=a5a9e1acb7e5
68,Executive/Sr. Executive - Engineering – Electrical - BE Electrical,Solara Active Pharma Sciences,Not Available,"Ambernath, Maharashtra",https://in.talent.com/view?id=f67d25ab2132
69,Chief Business Officer- Rooftop Solar Space,Michael Page,Not Available,Maharashtra,https://in.talent.com/view?id=8c9e6f458c42
70,Solar PV Specialist,Black & Veatch,Not Available,"Mumbai, Maharashtra",https://in.talent.com/view?id=4ab90bd38c15
71,Senior Electrical Design Engineers (PV Solar),Sterling and Wilson Renewable Energy,Not Available,"Mumbai, Maharashtra",https://in.talent.com/view?id=f3049076c382
72,Solar Sales Executive,Vefes,Not Available,"Mumbai, Maharashtra",https://in.talent.com/view?id=cb1bd06f9e5f
73,Project Manager,Sterling and Wilson Solar,Not Available,"Mumbai, Maharashtra",https://in.talent.com/view?id=342fc1a6c3ed
74,Suntuity REI - Solar Design Engineer,Suntuity REI,Not Available,"Mumbai, Maharashtra",https://in.talent.com/view?id=5f93b83a6b45
75,Senior Solar Engineer - Energy,Burns & McDonnell,Not Available,"Mumbai, Maharashtra",https://in.talent.com/view?id=b85a9c9529e2
76,Sales Intern,I SOLAR LITE,"INR 7,000 per month","Navi Mumbai, Maharashtra",https://in.talent.com/view?id=6d22a48bdd79
77,Electrical Engineer for Solar Energy Company - Jamshedpur/Ranchi/Bhubaneswar,MVP ENTERPRISES,"1,25,000 To 1,75,000 p.a.","Ranchi, Jharkhand",https://in.talent.com/view?id=4e4b61167881
78,Electrical Engineer for Solar Energy Company - Jamshedpur/Ranchi/Bhubaneswar,Placement India,"1,25,000 To 1,75,000 p.a.","Ranchi, Jharkhand",https://in.talent.com/view?id=c4c8095e364b
79,Manager / Asst. Manager - Solar - Sales & Marketing,Hitachi,Not Available,"Pune, Maharashtra",https://in.talent.com/view?id=0c92007d20be
80,"Sr. Engineer Design – Solar PV Plant, Pune",Talent Leads HR Solutions Private Limtied,900000-1000000,"Pune, Maharashtra",https://in.talent.com/view?id=7748cbda4192
81,Solar Sales Executive,Idealcrew Technology,100000-300000,"Pune, Maharashtra",https://in.talent.com/view?id=0c2071f3f713
82,"Sr. Engineer Design – Solar PV Plant, Pune",Talent Leads HR Solutions Pvt Ltd,"₹ 9,00,000 - 10,00,000 PA.","Pune, Maharashtra",https://in.talent.com/view?id=b4d586494955
83,Design Engineer-Integration/ Electronics/ Software quality control,Solar Industries India Limited,Not Available,"Hyderabad, Telangana",https://in.talent.com/view?id=254d9c984146
84,Business Analyst,OYA Solar Inc,Not Available,"Hyderabad, Telangana",https://in.talent.com/view?id=c166762f7df9
85,AGM / DGM Project Management Solar,Amara Raja Power Systems Ltd,Not Available,"Hyderabad, Telangana",https://in.talent.com/view?id=87138be52cbd
86,Sales Manager - Rooftop Solar,Exide Industries,Not Available,"Hyderabad, Telangana",https://in.talent.com/view?id=6f587d0ef697
87,Sales Manager – Rooftop Solar,Exide,Not Available,"Hyderabad, Andhra Pradesh",https://in.talent.com/view?id=0f6cdc8747e3
88,Solar winds or Zabbix,Tata Group,Not Available,"Hyderabad, Telangana",https://in.talent.com/view?id=57458de120ef
89,Web Developer,JUNNA solar,1 - 2 lacs/annum,"Hyderabad, Telangana",https://in.talent.com/view?id=6c002fa83293
90,Solar winds or Zabbix,Tata Consultancy Services,Not Available,"Hyderabad, Telangana",https://in.talent.com/view?id=6801353703d4
91,Solar Technician Required in - BBSR,Right Fit Resources,1  Lac  50 Thousand  To  1  Lac  75 Thousand  P.A.,"Bhubaneswar, Odisha",https://in.talent.com/view?id=7dfaa8c81fe6
92,Solar Product Maktg. Executive,Corporate Resources,"1,75,000 To 2,50,000 p.a.","Bhubaneswar, Odisha",https://in.talent.com/view?id=e77685ff491d
93,Relationship Manager -Solar Energy Equipment Supplies,Vashi Electricals Private Limited,200000-300000,"Kolkata, West Bengal",https://in.talent.com/view?id=9eb9575f3c97
94,Technical Support,Rajyalakshmi Pullugurtha (Proprietor Of Siddhi Solar Technologies,100000-400000,"Visakhapatnam, Andhra Pradesh",https://in.talent.com/view?id=b254970943dd
95,Solar Winds,Agreeya Solutions India Private Limited,Not Available,"Bangalore, Karnataka",https://in.talent.com/view?id=d49097d7d8b7
96,Job Openings For Solar Winds Admin,Convate Consultancy Services Private Limited,Not Available,"Bangalore, Karnataka",https://in.talent.com/view?id=c38c36bc2caf
97,SOLAR MGR -CIVIL,Siemens Gamesa,Not Available,"Chennai, Tamil Nadu",https://in.talent.com/view?id=ed94f997cdba
98,Executive Marketing,mas solar systems private limited,"1,25,000 To 2,50,000 p.a.","Omalur, Tamil Nadu",https://in.talent.com/view?id=1f8e1a74d481
99,Marketing manager,MAS SOLAR SYSTEMS PVT LTD,"INR 15,000 per month","Tiruppur, Tamil Nadu",https://in.talent.com/view?id=1f2e0ddc6978
